Source,title,text,Decision,Company name,Date,label
https://simplywall.st/stocks/lk/banks/cose-seyb.n0000/seylan-bank-shares,"Seylan Bank PLC Reports Earnings Results for the Fourth Quarter Ended December 31, 2021","Seylan Bank PLC reported earnings results for the fourth quarter ended December 31, 2021. For the fourth quarter, the company reported net interest income was LKR 6,601.31 million compared to LKR 4,703.55 million a year ago. Net income was LKR 1,412.86 million compared to LKR 841.28 million a year ago.
Basic earnings per share from continuing operations was LKR 2.4678 compared to LKR 1.4676 a year ago",,Seylan Bank PLC,23-Feb-22,positive
https://simplywall.st/stocks/lk/banks/cose-seyb.n0000/seylan-bank-shares,"Seylan Bank PLC Reports Earnings Results for the Full Year Ended December 31, 2021","Seylan Bank PLC reported earnings results for the full year ended December 31, 2021. For the full year, the company reported net interest income was LKR 23,903.91 million compared to LKR 19,810.78 million a year ago. Net income was LKR 4,653 million compared to LKR 3,038.63 million a year ago.
Basic earnings per share from continuing operations was LKR 8.142 compared to LKR 5.3189 a year ago.",,Seylan Bank PLC,24-Feb-22,positive
https://simplywall.st/stocks/lk/banks/cose-seyb.n0000/seylan-bank-shares,"Seylan Bank PLC, Board Meeting, Feb 22, 2022","Seylan Bank PLC, Board Meeting, Feb 22, 2022. Agenda: To consider and approved issue of listed rested basel III compliant Tier 2 unsecured subordinated redeemable debentures.",,Seylan Bank PLC,25-Feb-22,positive
https://simplywall.st/stocks/lk/banks/cose-seyb.n0000/seylan-bank-shares,"Seylan Bank PLC Recommends First and Final Dividend for the Year Ended December 31, 2021","Seylan Bank PLC announced that the Board of Directors of the Bank at the meeting held on February 22, 2022, recommended a first and final dividend of LKR 3.00 per share, for the year ended December 31, 2021 to the Ordinary Voting Shareholders and Ordinary Non-voting Shareholders of the Bank subject to the approval of the shareholders at the Annual General Meeting of the Bank scheduled to be held on March 30, 2022. The dividend of LKR 3.00 per share will be paid in the form of a scrip dividend.",,Seylan Bank PLC,26-Feb-22,positive
https://simplywall.st/stocks/lk/banks/cose-seyb.n0000/seylan-bank-shares/event/1772293231%2C1772297174%2C1772415258%2C1772427403%2C1773510375,"Seylan Bank PLC, 1.069767442 : 1, Stock Split or Significant Stock Dividend, Mar-31-2022","Seylan Bank PLC, 1.069767442 : 1, Stock Split or Significant Stock Dividend, Mar-31-2022",,Seylan Bank PLC,27-Feb-22,positive
https://simplywall.st/stocks/lk/banks/cose-seyb.n0000/seylan-bank-shares/event/1782458485,"Seylan Bank PLC Reports Earnings Results for the First Quarter Ended March 31, 2022","Seylan Bank PLC reported earnings results for the first quarter ended March 31, 2022. For the first quarter, the company reported net interest income was LKR 6,903.63 million compared to LKR 5,612.36 million a year ago. Net income was LKR 966.1 million compared to LKR 967.44 million a year ago.

Basic earnings per share from continuing operations was LKR 1.67 compared to LKR 1.67 a year ago.",,Seylan Bank PLC,11-May-22,positive
https://simplywall.st/stocks/lk/banks/cose-seyb.n0000/seylan-bank-shares/event/1814976279,"Seylan Bank PLC Reports Earnings Results for the Third Quarter and Nine Months Ended September 30, 2022","Seylan Bank PLC reported earnings results for the third quarter and nine months ended September 30, 2022. For the third quarter, the company reported net interest income was LKR 11,202.28 million compared to LKR 6,175.47 million a year ago. Net income was LKR 1,040.31 million compared to LKR 1,134.8 million a year ago.

Basic earnings per share from continuing operations was LKR 1.8 compared to LKR 1.96 a year ago For the nine months, net interest income was LKR 28,260.41 million compared to LKR 17,302.6 million a year ago. Net income was LKR 2,495.22 million compared to LKR 3,240.15 million a year ago. Basic earnings per share from continuing operations was LKR 4.32 compared to LKR 5.61 a year ago.",,Seylan Bank PLC,11-Nov-22,positive
https://simplywall.st/stocks/lk/banks/cose-seyb.n0000/seylan-bank-shares/event/1796150954,"Seylan Bank PLC Reports Earnings Results for the Second Quarter and Six Months Ended June 30, 2022","Seylan Bank PLC reported earnings results for the second quarter and six months ended June 30, 2022. For the second quarter, the company reported net interest income was LKR 10,154.5 million compared to LKR 5,514.77 million a year ago. Net income was LKR 488.82 million compared to LKR 1,137.91 million a year ago.

Basic earnings per share from continuing operations was LKR 0.85 compared to LKR 1.97 a year ago For the six months, net interest income was LKR 17,058.13 million compared to LKR 11,127.13 million a year ago. Net income was LKR 1,454.92 million compared to LKR 2,105.35 million a year ago. Basic earnings per share from continuing operations was LKR 2.52 compared to LKR 3.64 a year ago.

Seylan Bank PLC reported earnings results for the second quarter and six months ended June 30, 2022. For the second quarter, the company reported net interest income was LKR 10,154.5 million compared to LKR 5,514.77 million a year ago. Net income was LKR 488.82 million compared to LKR 1,137.91 million a year ago.

Basic earnings per share from continuing operations was LKR 0.85 compared to LKR 1.97 a year ago For the six months, net interest income was LKR 17,058.13 million compared to LKR 11,127.13 million a year ago. Net income was LKR 1,454.92 million compared to LKR 2,105.35 million a year ago. Basic earnings per share from continuing operations was LKR 2.52 compared to LKR 3.64 a year ago.

Seylan Bank PLC reported earnings results for the second quarter and six months ended June 30, 2022. For the second quarter, the company reported net interest income was LKR 10,154.5 million compared to LKR 5,514.77 million a year ago. Net income was LKR 488.82 million compared to LKR 1,137.91 million a year ago.

Basic earnings per share from continuing operations was LKR 0.85 compared to LKR 1.97 a year ago For the six months, net interest income was LKR 17,058.13 million compared to LKR 11,127.13 million a year ago. Net income was LKR 1,454.92 million compared to LKR 2,105.35 million a year ago. Basic earnings per share from continuing operations was LKR 2.52 compared to LKR 3.64 a year ago.

Seylan Bank PLC reported earnings results for the second quarter and six months ended June 30, 2022. For the second quarter, the company reported net interest income was LKR 10,154.5 million compared to LKR 5,514.77 million a year ago. Net income was LKR 488.82 million compared to LKR 1,137.91 million a year ago.

Basic earnings per share from continuing operations was LKR 0.85 compared to LKR 1.97 a year ago For the six months, net interest income was LKR 17,058.13 million compared to LKR 11,127.13 million a year ago. Net income was LKR 1,454.92 million compared to LKR 2,105.35 million a year ago. Basic earnings per share from continuing operations was LKR 2.52 compared to LKR 3.64 a year ago.

Seylan Bank PLC reported earnings results for the second quarter and six months ended June 30, 2022. For the second quarter, the company reported net interest income was LKR 10,154.5 million compared to LKR 5,514.77 million a year ago. Net income was LKR 488.82 million compared to LKR 1,137.91 million a year ago.

Basic earnings per share from continuing operations was LKR 0.85 compared to LKR 1.97 a year ago For the six months, net interest income was LKR 17,058.13 million compared to LKR 11,127.13 million a year ago. Net income was LKR 1,454.92 million compared to LKR 2,105.35 million a year ago. Basic earnings per share from continuing operations was LKR 2.52 compared to LKR 3.64 a year ago.",,Seylan Bank PLC,10-Aug-22,positive
https://simplywall.st/stocks/lk/banks/cose-seyb.n0000/seylan-bank-shares/event/1782458485,"Seylan Bank PLC Reports Earnings Results for the First Quarter Ended March 31, 2022","Seylan Bank PLC reported earnings results for the first quarter ended March 31, 2022. For the first quarter, the company reported net interest income was LKR 6,903.63 million compared to LKR 5,612.36 million a year ago. Net income was LKR 966.1 million compared to LKR 967.44 million a year ago.

Basic earnings per share from continuing operations was LKR 1.67 compared to LKR 1.67 a year ago.",,Seylan Bank PLC,11-May-22,positive
https://simplywall.st/stocks/lk/banks/cose-seyb.n0000/seylan-bank-shares,Investor sentiment deteriorated over the past week,"After last week's 16% share price decline to LK?26.50, the stock trades at a trailing P/E ratio of 3.7x.
Average trailing P/E is 3x in the Banks industry in Sri Lanka.
Total loss to shareholders of 40% over the past three years.",,Seylan Bank PLC,7-Jan,negative
